Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"LuckyCharmT",normal,1,Failed,"Long Road South Car","Long Road South Car: Objective #1","1","22:27:09","22:27:53",
Bot8,"Barlog_M",normal,37,Failed,"Long Road","Zone qlight_br_secure_road","1","22:27:15","22:28:30",
Bot11,"aburiu",easy,38,Failed,"Resort","Resort: Objective #3","1","22:27:16","22:33:43",
Bot10,"Gizzy",easy,6,Completed,"Convenience Store House","Convenience Store House: Objective #1","7","22:27:16","22:29:52",
Bot10,"Gizzy",easy,6,Completed,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","22:29:58","22:32:16",
Bot10,"Gizzy",easy,6,Failed,"USEC Camp Building 1","USEC Camp Building 1: Objective #1","1","22:32:22","22:34:33",
Bot12,"toaddsworth",normal,22,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","22:27:18","22:30:37",
Bot12,"toaddsworth",normal,22,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","22:30:42","22:37:51",
Bot12,"toaddsworth",normal,22,Active,"Easy Job - Part 1","Zone qlight_pr1_heli1_find","1","22:37:56","N/A",
Bot13,"Kaeno",normal,33,Pending,"Revision - Lighthouse","Zone qlight_mark_vech4","1","22:27:18","N/A",
Bot15,"Kiki",easy,41,Completed,"Long Road South Car","Long Road South Car: Objective #1","1","22:27:25","22:28:45",
Bot15,"Kiki",easy,41,Completed,"Missing Cargo","Zone qlight_find_crushed_heli","1","22:28:50","22:33:42",
Bot15,"Kiki",easy,41,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_2","1","22:33:47","22:37:21",
Bot17,"Choccy",easy,11,Pending,"Long Road South Car","Long Road South Car: Objective #1","1","22:27:25","N/A",
Bot16,"Big Chungus",easy,16,Active,"Helicopter Crash","Helicopter Crash: Objective #1","1","22:27:25","N/A",
