Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot131,"Waffle",easy,35,Completed,"Long Road","Zone qlight_br_secure_road","1","00:22:15","00:26:02",
Bot131,"Waffle",easy,35,Completed,"Merin Car","Merin Car: Objective #1","1","00:26:07","00:27:30",
Bot131,"Waffle",easy,35,Completed,"Long Road Construction","Long Road Construction: Objective #1","1","00:27:36","00:28:05",
Bot131,"Waffle",easy,35,Completed,"Long Road Construction","Long Road Construction: Objective #2","1","00:28:10","00:28:25",
Bot131,"Waffle",easy,35,Completed,"Long Road Construction","Long Road Construction: Objective #4","1","00:28:30","00:28:54",
Bot131,"Waffle",easy,35,Completed,"Long Road Construction","Long Road Construction: Objective #3","1","00:28:59","00:29:11",
Bot131,"Waffle",easy,35,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","00:29:16","00:32:21",
Bot130,"VIPkiller17",normal,44,Completed,"Merin Car","Merin Car: Objective #1","1","00:22:15","00:22:33",
Bot130,"VIPkiller17",normal,44,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","00:22:38","00:25:37",
Bot143,"Gatsu66",hard,42,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","00:22:34","00:24:25",
Bot144,"Tyrian",hard,42,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","00:22:34","00:23:30",
Bot142,"GopnikWarrior",hard,13,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","00:22:35","00:22:58",
Bot142,"GopnikWarrior",hard,13,Failed,"Chalet","Chalet: Objective #9","1","00:23:03","00:24:33",
Bot153,"Spock",hard,42,Completed,"The Hermit","Zone qlight_hunt_fr_find","1","00:22:52","00:25:42",
Bot153,"Spock",hard,42,Failed,"Key to the Tower","Item Radio transmitter body","1","00:25:47","00:27:54",
Bot165,"Queen-Goddess",normal,6,Failed,"Village Center House","Village Center House: Objective #1","1","00:38:28","00:43:15",
Bot164,"RainbowPC",normal,25,Failed,"The Hermit","Item Sealed letter","1","00:38:28","00:40:52",
Bot166,"Филя Шугаринг (Lua)",hard,1,Completed,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","00:40:46","00:44:12",
Bot166,"Филя Шугаринг (Lua)",hard,1,Completed,"Scav Hideout","Scav Hideout: Objective #1","1","00:44:17","00:46:45",
Bot166,"Филя Шугаринг (Lua)",hard,1,Active,"USEC Camp Building 3 Roof","USEC Camp Building 3 Roof: Objective #1","1","00:46:50","N/A",
Bot171,"Sanote",easy,6,Active,"USEC Camp Road East Building","USEC Camp Road East Building: Objective #1","1","00:46:26","N/A",
