Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot87,"btdc00",normal,15,Failed,"Resort Front Yard","Resort Front Yard: Objective #1","1","23:45:57","23:48:10",
Bot87,"btdc00",normal,15,Failed,"Resort Front Yard","Resort Front Yard: Objective #2","1","23:46:12","23:48:10",
Bot90,"Carl",hard,37,Failed,"Easy Job - Part 1","Zone qlight_pr1_heli1_mark","1","23:45:57","23:50:22",
Bot91,"F1oridaMan",normal,2,Failed,"Pride Rock","Pride Rock: Objective #1","1","23:45:57","23:47:25",
Bot91,"F1oridaMan",normal,2,Failed,"Long Road Pond Camp","Long Road Pond Camp: Objective #1","1","23:47:30","23:49:26",
Bot88,"7 TO 14 FERAL HOGS",normal,37,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_2","1","23:45:57","23:51:57",
Bot88,"7 TO 14 FERAL HOGS",normal,37,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_4","1","23:52:02","23:54:01",
Bot89,"Fiaf",hard,19,Failed,"Cabins Crashed Van","Cabins Crashed Van: Objective #1","1","23:45:57","23:51:51",
Bot94,"Maksim Petrov",hard,29,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz2","1","23:45:57","23:54:04",
Bot94,"Maksim Petrov",hard,29,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","23:54:10","23:55:00",
Bot92,"Senko",easy,18,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","23:45:57","23:47:29",
Bot92,"Senko",easy,18,Failed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","23:47:34","23:51:05",
Bot93,"Life",hard,25,Completed,"Cabins Crashed Van","Cabins Crashed Van: Objective #1","1","23:45:57","23:47:33",
Bot93,"Life",hard,25,Completed,"The Hermit","Item Sealed letter","1","23:47:38","23:48:18",
Bot93,"Life",hard,25,Completed,"The Hermit","Zone qlight_hunt_fr_find","1","23:48:23","23:48:30",
Bot93,"Life",hard,25,Failed,"Easy Job - Part 2","Zone qlight_pr1_heli2_kill","1","23:48:35","23:48:40",
Bot93,"Life",hard,25,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz2","1","23:48:46","23:51:23",
Bot106,"3371",normal,15,Pending,"Cargo X - Part 4","Zone qlight16_peace_terra","1","23:46:21","N/A",
Bot105,"snapple",normal,20,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","23:46:21","23:49:00",
Bot105,"snapple",normal,20,Completed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","23:49:05","23:57:58",
Bot105,"snapple",normal,20,Completed,"Stage","Stage: Objective #2","1","23:58:03","00:03:27",
Bot105,"snapple",normal,20,Completed,"Stage","Stage: Objective #1","1","00:03:32","00:03:44",
Bot105,"snapple",normal,20,Failed,"Stage Wagon","Stage Wagon: Objective #1","1","00:03:49","00:04:31",
Bot105,"snapple",normal,20,Active,"Stage","Stage: Objective #3","1","00:04:36","N/A",
