Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot12,"MissingInAction",normal,20,Completed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","20:10:53","20:11:31",
Bot12,"MissingInAction",normal,20,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","20:11:36","20:12:33",
Bot22,"halik92",hard,20,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","20:11:04","20:12:47",
Bot21,"Mr_Pudlik",hard,5,Failed,"Resort","Resort: Objective #5","1","20:11:05","20:11:49",
Bot25,"lukewarmpudding",easy,29,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","20:11:21","20:23:45",
Bot25,"lukewarmpudding",easy,29,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","20:23:50","20:23:50",
Bot25,"lukewarmpudding",easy,29,Failed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","20:23:55","20:23:55",
Bot25,"lukewarmpudding",easy,29,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","20:24:00","20:24:00",
Bot25,"lukewarmpudding",easy,29,Failed,"Revision - Lighthouse","Zone qlight_mark_vech2","1","20:24:06","20:26:06",
Bot25,"lukewarmpudding",easy,29,Failed,"Helicopter Crash Armchair","Helicopter Crash Armchair: Objective #1","1","20:26:12","20:26:12",
Bot25,"lukewarmpudding",easy,29,Failed,"Long Road","Zone qlight_br_secure_road","1","20:26:17","20:26:17",
Bot25,"lukewarmpudding",easy,29,Failed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","20:26:22","20:26:22",
Bot24,"F1oridaMan",easy,33,Completed,"Lost Contact","Zone qlight_find_scav_group1","1","20:11:21","20:12:45",
Bot24,"F1oridaMan",easy,33,Failed,"Long Road","Zone qlight_br_secure_road","1","20:12:50","20:13:41",
Bot24,"F1oridaMan",easy,33,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","20:13:46","20:13:52",
Bot24,"F1oridaMan",easy,33,Failed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","20:13:57","20:23:33",
Bot30,"lukewarmpudding",normal,33,Pending,"Revision - Lighthouse","Zone qlight_mark_vech3","1","20:11:38","N/A",
Bot28,"Ilhsiek",normal,38,Completed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_3","1","20:11:38","20:13:57",
Bot28,"Ilhsiek",normal,38,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_4","1","20:14:02","20:18:41",
Bot28,"Ilhsiek",normal,38,Completed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_2","1","20:18:46","20:30:08",
Bot28,"Ilhsiek",normal,38,Active,"Chalet Remote Building","Chalet Remote Building: Objective #1","1","20:30:13","N/A",
Bot29,"Kiobu",normal,37,Pending,"Network Provider - Part 2","Zone meh_42_radio_area_mark_3","1","20:11:38","N/A",
Bot31,"Doge",normal,37,Pending,"Network Provider - Part 2","Zone meh_42_radio_area_mark_3","1","20:11:38","N/A",
