Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Zersus",easy,2,Failed,"Resort","Resort: Objective #1","1","09:46:00","09:49:50",
Bot1,"Zersus",easy,2,Failed,"Resort","Resort: Objective #6","1","09:49:55","09:49:56",
Bot1,"Zersus",easy,2,Failed,"Resort","Resort: Objective #5","1","09:50:01","09:50:12",
Bot1,"Zersus",easy,2,Failed,"Resort","Resort: Objective #2","1","09:50:17","09:50:25",
Bot1,"Zersus",easy,2,Failed,"Resort","Resort: Objective #4","1","09:50:30","09:50:38",
Bot1,"Zersus",easy,2,Failed,"Resort","Resort: Objective #3","1","09:50:43","09:50:51",
Bot1,"Zersus",easy,2,Completed,"Bridge Road Intersection","Bridge Road Intersection: Objective #1","1","09:50:56","09:53:03",
Bot1,"Zersus",easy,2,Completed,"Long Road Bus Crash","Long Road Bus Crash: Objective #1","1","09:53:08","09:57:25",
Bot1,"Zersus",easy,2,Failed,"Long Road Resort Entrance","Long Road Resort Entrance: Objective #1","1","09:57:30","10:03:14",
Bot2,"Andrudis",easy,39,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","09:46:01","09:57:19",
Bot3,"Jiro",easy,38,Failed,"Scav Hideout","Scav Hideout: Objective #1","1","09:46:01","09:56:36",
Bot4,"CharlieMike",easy,14,Failed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","09:46:02","09:54:39",
Bot5,"Floppa",normal,12,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","09:46:03","09:48:24",
Bot5,"Floppa",normal,12,Failed,"Stage Wagon","Stage Wagon: Objective #1","1","09:48:30","09:49:34",
Bot5,"Floppa",normal,12,Completed,"Stage Tent","Stage Tent: Objective #1","1","09:49:39","09:50:13",
Bot5,"Floppa",normal,12,Archived,"Long Road Side Tunnel Crash","Long Road Side Tunnel Crash: Objective #1","1","09:50:18","09:51:54",
Bot5,"Floppa",normal,12,Failed,"Southern Road","Southern Road: Objective #1","1","09:51:59","09:55:16",
Bot5,"Floppa",normal,12,Failed,"Southern Road","Southern Road: Objective #2","1","09:55:21","09:55:28",
Bot5,"Floppa",normal,12,Completed,"Long Road South Car","Long Road South Car: Objective #1","1","09:55:33","09:58:18",
Bot5,"Floppa",normal,12,Completed,"Bridge Road Intersection","Bridge Road Intersection: Objective #1","1","09:58:23","09:59:09",
Bot5,"Floppa",normal,12,Pending,"Long Road Side Tunnel Crash","Long Road Side Tunnel Crash: Objective #1","1","09:59:14","N/A",
Bot6,"DasWulf",normal,6,Failed,"Long Road Construction","Long Road Construction: Objective #1","1","09:46:05","09:51:02",
Bot7,"F1oridaMan",normal,23,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","09:46:05","09:51:14",
Bot8,"IvanTheThicc",normal,19,Failed,"Merin Car","Merin Car: Objective #1","1","09:46:06","09:51:44",
Bot20,"Colonel",normal,24,Failed,"Resort Overlook","Resort Overlook: Objective #3","1","09:46:19","09:50:49",
Bot20,"Colonel",normal,24,Failed,"Resort Overlook","Resort Overlook: Objective #2","1","09:46:34","09:50:49",
Bot20,"Colonel",normal,24,Failed,"Resort Overlook","Resort Overlook: Objective #1","1","09:46:34","09:50:49",
Bot22,"MissingInAction",normal,37,Completed,"Key to the Tower","Item Radio transmitter body","1","09:46:21","09:55:29",
Bot22,"MissingInAction",normal,37,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","09:55:34","09:59:21",
Bot21,"GeorgRavioli",normal,42,Completed,"Convenience Store House","Convenience Store House: Objective #1","7","09:46:22","10:08:30",
Bot21,"GeorgRavioli",normal,42,Active,"Resort Sniping","Resort Sniping: Objective #1","1","10:08:35","N/A",
