Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Bepis",normal,24,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","10:26:58","10:28:51",
Bot1,"Bepis",normal,24,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","10:28:56","10:31:36",
Bot2,"AcidPhantasm",hard,25,Failed,"Boss Hunter","Spawn Point (-71.8 39.2 451.1)","1","10:27:00","10:28:12",
Bot2,"AcidPhantasm",hard,25,Failed,"Boss Hunter","Spawn Point (-58.0 39.5 459.4)","1","10:28:17","10:28:22",
Bot2,"AcidPhantasm",hard,25,Active,"Boss Hunter","Spawn Point (12.9 4.8 -447.5)","1","10:28:27","N/A",
Bot3,"Skeeze",easy,25,Failed,"Long Road","Zone qlight_br_secure_road","1","10:27:01","10:30:01",
Bot3,"Skeeze",easy,25,Failed,"Boss Hunter","Spawn Point (-71.8 39.2 451.1)","1","10:30:06","10:30:53",
Bot3,"Skeeze",easy,25,Failed,"Boss Hunter","Spawn Point (-13.4 4.5 -449.6)","1","10:30:58","10:31:41",
Bot3,"Skeeze",easy,25,Failed,"Boss Hunter","Spawn Point (-58.0 39.5 459.4)","1","10:31:46","10:33:19",
Bot3,"Skeeze",easy,25,Active,"Boss Hunter","Spawn Point (12.9 4.8 -447.5)","1","10:33:25","N/A",
Bot4,"FlashMode",easy,24,Pending,"Cargo X - Part 4","Zone qlight16_peace_terra","1","10:27:02","N/A",
Bot5,"Kaeno",normal,3,Completed,"Long Road Construction","Long Road Construction: Objective #2","1","10:27:03","10:27:17",
Bot5,"Kaeno",normal,3,Completed,"Long Road Construction","Long Road Construction: Objective #1","1","10:27:22","10:27:28",
Bot5,"Kaeno",normal,3,Completed,"Long Road Construction","Long Road Construction: Objective #4","1","10:27:33","10:28:15",
Bot5,"Kaeno",normal,3,Completed,"Long Road Construction","Long Road Construction: Objective #3","1","10:28:20","10:28:31",
Bot5,"Kaeno",normal,3,Completed,"Main Road Bridge Beach Container","Main Road Bridge Beach Container: Objective #1","1","10:28:36","10:30:20",
Bot5,"Kaeno",normal,3,Active,"Scav Hideout","Scav Hideout: Objective #1","1","10:30:25","N/A",
Bot6,"jiblet",normal,10,Completed,"Long Road Construction","Long Road Construction: Objective #2","1","10:27:04","10:27:17",
