Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Arokar",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #5","1","13:41:33","13:41:54",
Bot1,"Arokar",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #4","1","13:41:59","13:42:23",
Bot1,"Arokar",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #3","1","13:42:28","13:42:45",
Bot1,"Arokar",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #2","1","13:42:50","13:43:35",
Bot1,"Arokar",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #1","1","13:43:40","13:44:29",
Bot1,"Arokar",normal,1,Failed,"Knight Garages","Knight Garages: Objective #1","1","13:44:35","13:47:20",
Bot3,"Kiki",hard,16,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","13:41:38","13:44:20",
Bot2,"Styrr",hard,27,Failed,"Pest Control","Zone eger_barracks_area_1","1","13:41:38","13:44:33",
Bot4,"crustyselenium_",hard,38,Failed,"Pest Control","Zone eger_barracks_area_1","1","13:41:39","13:47:46",
Bot5,"aburiu",hard,1,Failed,"White Pawn","White Pawn: Objective #3","1","13:41:39","13:44:08",
Bot10,"pplatinumssEU",easy,2,Failed,"White Bishop","White Bishop: Objective #4","1","13:41:43","13:50:39",
Bot9,"Bnuy",easy,27,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","13:41:43","13:47:20",
