Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot32,"jonkler",hard,23,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","22:52:08","22:54:19",
Bot32,"jonkler",hard,23,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","22:54:25","23:03:13",
Bot35,"PreyToLive",hard,31,Completed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","22:52:08","22:52:55",
Bot35,"PreyToLive",hard,31,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","22:53:00","22:59:10",
Bot36,"John Pork",easy,45,Completed,"Missing Cargo","Zone qlight_find_crushed_heli","1","22:52:08","22:52:34",
Bot36,"John Pork",easy,45,Failed,"Missing Cargo","Item Stolen military documents","1","22:52:39","22:57:31",
Bot33,"Claus1978",hard,29,Failed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","22:52:08","23:06:25",
Bot34,"Nomad_420",hard,2,Failed,"Chalet","Chalet: Objective #1","1","22:52:08","23:07:28",
Bot38,"_物是人非",easy,9,Failed,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","22:52:08","22:55:12",
Bot37,"dushaoan",normal,21,Failed,"Pride Rock","Pride Rock: Objective #1","1","22:52:08","22:52:41",
Bot37,"dushaoan",normal,21,Completed,"Long Road Construction","Long Road Construction: Objective #1","1","22:52:47","22:53:15",
Bot37,"dushaoan",normal,21,Completed,"Long Road Construction","Long Road Construction: Objective #2","1","22:53:20","22:55:37",
Bot37,"dushaoan",normal,21,Completed,"Long Road Construction","Long Road Construction: Objective #4","1","22:55:42","22:55:54",
Bot37,"dushaoan",normal,21,Completed,"Long Road Construction","Long Road Construction: Objective #3","1","22:55:59","22:56:08",
Bot37,"dushaoan",normal,21,Failed,"Easy Job - Part 1","Zone qlight_pr1_heli1_mark","1","22:56:13","22:58:59",
Bot39,"Senko",easy,7,Failed,"Make Amends","Item Secure Flash drive V3","1","22:52:08","22:55:41",
Bot45,"Kobrakon",hard,22,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","22:52:16","22:53:56",
Bot45,"Kobrakon",hard,22,Completed,"Long Road","Zone qlight_br_secure_road","1","22:54:01","22:58:08",
Bot45,"Kobrakon",hard,22,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","22:58:13","23:00:35",
Bot45,"Kobrakon",hard,22,Failed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","23:00:40","23:04:29",
Bot45,"Kobrakon",hard,22,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","23:04:34","23:08:38",
Bot53,"wara",hard,11,Pending,"Make Amends","Item Secure Flash drive V3","1","22:52:28","N/A",
Bot52,"Solarint",hard,40,Completed,"The Hermit","Item Sealed letter","1","22:52:28","22:59:10",
Bot52,"Solarint",hard,40,Completed,"The Hermit","Zone qlight_hunt_fr_find","1","22:59:15","22:59:34",
Bot52,"Solarint",hard,40,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_1","1","22:59:39","23:01:21",
