Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"ixcetotis",easy,29,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","20:52:53","20:55:25",
Bot4,"ixcetotis",easy,29,Failed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","20:55:31","20:57:34",
Bot6,"Alex",easy,23,Completed,"Long Road","Zone qlight_br_secure_road","1","20:52:54","20:54:21",
Bot6,"Alex",easy,23,Failed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","20:54:26","20:55:01",
Bot11,"Ninjaweb",hard,7,Failed,"Long Road Resort Entrance","Long Road Resort Entrance: Objective #1","1","20:52:59","20:55:45",
Bot10,"halik92",hard,29,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","20:53:00","20:56:45",
Bot14,"Carl",hard,17,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","20:53:03","20:58:45",
Bot14,"Carl",hard,17,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","20:58:50","20:59:18",
Bot15,"TonioX",normal,5,Completed,"Convenience Store House","Convenience Store House: Objective #1","7","20:53:10","20:57:55",
Bot15,"TonioX",normal,5,Completed,"Long Road Construction","Long Road Construction: Objective #3","1","20:58:00","21:02:01",
Bot15,"TonioX",normal,5,Completed,"Long Road Construction","Long Road Construction: Objective #4","1","21:02:06","21:04:39",
Bot15,"TonioX",normal,5,Failed,"Long Road Construction","Long Road Construction: Objective #2","1","21:04:44","21:05:41",
Bot16,"OkaMoez",normal,43,Completed,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","20:53:11","21:06:22",
Bot16,"OkaMoez",normal,43,Failed,"Snatch","Item Forged Lightkeeper intelligence","1","21:06:27","21:10:13",
Bot28,"Zmyh",normal,44,Completed,"Southern Road","Southern Road: Objective #2","2","20:54:15","20:55:42",
Bot28,"Zmyh",normal,44,Completed,"Southern Road","Southern Road: Objective #1","2","20:55:47","20:57:24",
Bot28,"Zmyh",normal,44,Failed,"Missing Cargo","Zone qlight_find_crushed_heli","1","20:57:29","21:00:39",
Bot28,"Zmyh",normal,44,Failed,"Missing Cargo","Item Stolen military documents","1","21:00:44","21:00:58",
Bot28,"Zmyh",normal,44,Failed,"Helicopter Crash","Helicopter Crash: Objective #1","1","21:01:03","21:01:10",
Bot28,"Zmyh",normal,44,Failed,"Fishing Huts","Fishing Huts: Objective #1","1","21:01:15","21:01:53",
Bot28,"Zmyh",normal,44,Failed,"Fishing Huts","Fishing Huts: Objective #3","1","21:01:58","21:02:02",
Bot28,"Zmyh",normal,44,Failed,"Fishing Huts","Fishing Huts: Objective #2","1","21:02:07","21:02:12",
Bot28,"Zmyh",normal,44,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","21:02:17","21:03:26",
Bot28,"Zmyh",normal,44,Failed,"Long Road","Zone qlight_br_secure_road","1","21:03:32","21:03:36",
Bot29,"Bulld0z3r",normal,2,Pending,"Southern Road","Southern Road: Objective #2","2","20:54:15","N/A",
Bot30,"Awafrican",normal,7,Pending,"Chalet Kayak Storage","Chalet Kayak Storage: Objective #1","1","20:54:16","N/A",
Bot31,"Agnotology",normal,40,Failed,"Boss Hunter","Spawn Point (-71.8 39.2 451.1)","1","20:54:16","21:21:49",
Bot31,"Agnotology",normal,40,Active,"Boss Hunter","Spawn Point (-58.0 39.5 459.4)","1","21:21:55","N/A",
Bot40,"Тимурка Молоко (野猪)",normal,1,Failed,"Tennis Courts","Tennis Courts: Objective #1","1","21:09:48","21:10:20",
Bot40,"Тимурка Молоко (野猪)",normal,1,Failed,"Tennis Courts","Tennis Courts: Objective #3","1","21:10:25","21:10:34",
Bot40,"Тимурка Молоко (野猪)",normal,1,Failed,"Tennis Courts","Tennis Courts: Objective #2","1","21:10:39","21:10:48",
Bot40,"Тимурка Молоко (野猪)",normal,1,Archived,"Long Road Bus Crash","Long Road Bus Crash: Objective #1","1","21:10:54","21:13:19",
Bot40,"Тимурка Молоко (野猪)",normal,1,Completed,"Long Road Pond Camp","Long Road Pond Camp: Objective #1","1","21:13:24","21:14:13",
Bot40,"Тимурка Молоко (野猪)",normal,1,Completed,"Long Road Side Tunnel Crash","Long Road Side Tunnel Crash: Objective #1","1","21:14:18","21:16:01",
Bot40,"Тимурка Молоко (野猪)",normal,1,Completed,"Helicopter Crash Armchair","Helicopter Crash Armchair: Objective #1","1","21:16:06","21:17:53",
Bot40,"Тимурка Молоко (野猪)",normal,1,Failed,"Bridge Road Intersection","Bridge Road Intersection: Objective #1","1","21:17:59","21:19:10",
Bot40,"Тимурка Молоко (野猪)",normal,1,Completed,"Helicopter Crash","Helicopter Crash: Objective #1","1","21:19:16","21:19:49",
Bot40,"Тимурка Молоко (野猪)",normal,1,Completed,"Chalet","Chalet: Objective #6","1","21:19:54","21:22:04",
Bot40,"Тимурка Молоко (野猪)",normal,1,Pending,"Chalet","Chalet: Objective #3","1","21:22:09","N/A",
